ram,cpu,cloudlet,ale1,tunti1,kk1,ale2,tunti2,kk2
128 Mt,400 MHz,1 kpl,0,0 %,0,0100 €,7,20 €,15,0 %,0,0085 €,6,12 €
1 Gt,3,2 GHz,8 kpl,5,0 %,0,0095 €,54,72 €,25,0 %,0,0075 €,43,20 €
2 Gt,6,4 GHz,16 kpl,10,0 %,0,0090 €,103,68 €,30,0 %,0,0070 €,80,64 €
4 Gt,12,8 GHz,32 kpl,15,0 %,0,0085 €,195,84 €,35,0 %,0,0065 €,149,76 €
8 Gt,25,6 GHz,64 kpl,20,0 %,0,0080 €,368,64 €,40,0 %,0,0060 €,276,48 €
16 Gt,51,2 GHz,128 kpl,25,0 %,0,0075 €,691,20 €,45,0 %,0,0055 €,506,88 €
32 Gt,102,4 GHz,256 kpl,30,0 %,0,0070 €,1 290,24 €,50,0 %,0,0050 €,921,60 €
