tuote	kuvaus	yksikko	tunti	kk
SSD-levytila	AES-256 salaus, sisältää varmuuskopioinnin	1 Gt	0,0001 €	0,07 €
Julkinen IP-osoite	Vapaa liikennöinti jaetulla 100 Mbit/s kaistalla	1 kpl	0,0049 €	3,56 €
